dataset_name,type,layer,binarize_value,top_n,width,linear_macro_f1_score
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,12,0,0,16k,0.6601791782514674
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,12,1,50,16k,0.6598639455782312
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,12,1,20,16k,0.6547756041426928
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,12,1,0,16k,0.6659580929243851
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,12,0,50,16k,0.6398559423769508
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,12,0,20,16k,0.7189883580891208
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,12,0,20,65k,0.6565656565656566
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,12,0,0,65k,0.5866518802298619
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,12,1,20,65k,0.6471418489767113
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,12,0,50,65k,0.6457131288591963
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,12,1,50,65k,0.6457131288591963
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,12,1,0,65k,0.5889724310776943
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,19,0,0,16k,0.69662098545873
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,19,0,20,16k,0.7028862478777589
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,19,1,0,16k,0.68
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,19,0,50,16k,0.7631551848419318
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,19,1,20,16k,0.6515679442508711
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,19,1,50,16k,0.6834011759384894
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,19,0,20,65k,0.7099709970997099
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,19,0,50,65k,0.6788438378161381
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,19,1,50,65k,0.6458333333333333
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,19,1,0,65k,0.6578099838969405
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,19,0,0,65k,0.7178819444444444
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,19,1,20,65k,0.7297567811029927
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,20,1,50,16k,0.6938021328265231
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,20,0,50,16k,0.68
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,20,1,0,16k,0.6998799519807923
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,20,1,20,16k,0.6310763888888888
