model_name,layer,width,type,dataset_name,top_n,binarize_value,last_token,timestamp,model_type,sae_location,dataset_config_name,dataset_split,linear_macro_f1_score,linear_accuracy,linear_mean_cv_accuracy,linear_std_cv_accuracy,decision_tree_macro_f1_score,decision_tree_accuracy,decision_tree_mean_cv_accuracy,decision_tree_std_cv_accuracy
Gemma 2 2B,5,2^14,Hidden States,Anthropic/election_questions,1,0,True,,,,,,,,,,,,,
Gemma 2 2B,5,2^14,Hidden States,Anthropic/election_questions,4,0,True,,,,,,,,,,,,,
Gemma 2 2B,5,2^14,SAE Features,Anthropic/election_questions,1,0,True,,,,,,,,,,,,,
Gemma 2 2B,5,2^14,SAE Features,Anthropic/election_questions,4,0,True,,,,,,,,,,,,,
Gemma 2 2B,5,2^14,Hidden States,AIM-Harvard/reject_prompts,1,0,True,,,,,,,,,,,,,
Gemma 2 2B,5,2^14,Hidden States,AIM-Harvard/reject_prompts,4,0,True,,,,,,,,,,,,,
Gemma 2 2B,5,2^14,SAE Features,AIM-Harvard/reject_prompts,1,0,True,,,,,,,,,,,,,
Gemma 2 2B,5,2^14,SAE Features,AIM-Harvard/reject_prompts,4,0,True,,,,,,,,,,,,,
Gemma 2 2B,5,2^14,Hidden States,jackhhao/jailbreak-classification,1,0,True,,,,,,,,,,,,,
Gemma 2 2B,5,2^14,Hidden States,jackhhao/jailbreak-classification,4,0,True,,,,,,,,,,,,,
Gemma 2 2B,5,2^14,SAE Features,jackhhao/jailbreak-classification,1,0,True,,,,,,,,,,,,,
Gemma 2 2B,5,2^14,SAE Features,jackhhao/jailbreak-classification,4,0,True,,,,,,,,,,,,,
Gemma 2 2B,5,2^14,Hidden States,willcb/massive-intent,1,0,True,,,,,,,,,,,,,
Gemma 2 2B,5,2^14,Hidden States,willcb/massive-intent,4,0,True,,,,,,,,,,,,,
Gemma 2 2B,5,2^14,SAE Features,willcb/massive-intent,1,0,True,,,,,,,,,,,,,
Gemma 2 2B,5,2^14,SAE Features,willcb/massive-intent,4,0,True,,,,,,,,,,,,,
Gemma 2 2B,5,2^14,Hidden States,willcb/massive-scenario,1,0,True,,,,,,,,,,,,,
